"Type","Crop","Variety","tex1","tex2","tex3","minpH","maxpH","minTemp","maxTemp","minPrep","maxPrep","minAlti","maxAlti","drought_tolerant","pest_tolerant","availability","farmer_preference"
"Roots and Tubers","Arrow root","Dasheen","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,0,1,0,1
"Roots and Tubers","Arrow root","Eddoe","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,1,1,0,1
"Roots and Tubers","Arrow root","Rwandan","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,1,1,0,1
"Roots and Tubers","Arrow root","Famunera","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,0,1,1,1
"Roots and Tubers","Arrow root","Cuenca strain","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,0,1,0,1
"Roots and Tubers","Arrow root","San Pablo","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,0,1,0,1
"Roots and Tubers","Arrow root","Hybrid upland arrow root","loamy moist soils","well-drained","deep","5.5",6.5,21,30,500,1500,900,1800,1,1,1,1
"Cereals","Barley","Tumaini","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,2100,2400,0,0,1,0
"Cereals","Barley","Bima","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2400,0,1,1,1
"Cereals","Barley","Ahadi","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,2400,2700,0,1,1,1
"Cereals","Barley","Sabini","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,2100,2700,0,1,1,1
"Cereals","Barley","NGAO","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1500,1800,0,0,1,1
"Cereals","Barley","BAHATI","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,500,1800,0,1,1,0
"Cereals","Barley","KARNE","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2100,0,1,1,1
"Cereals","Barley","QUENCH","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2400,0,0,1,1
"Cereals","Barley","PEBLICAN","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2400,0,1,1,1
"Cereals","Barley","NFC TIPPLE","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2400,0,0,1,1
"Cereals","Barley","COCKTAIL","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2400,0,1,1,1
"Cereals","Barley","GRACE","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2600,0,1,1,1
"Cereals","Barley","ALICIANA","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2600,0,1,1,1
"Cereals","Barley","CERISE LAUREL","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,500,1800,1,1,1,1
"Cereals","Barley","Planet","LOAM","CLAY LOAM","SILTY LOAM","5",8.3,15,30,400,800,1800,2600,0,1,1,0
"Roots and Tubers","Cassava","Migyera","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,0,1,1
"Roots and Tubers","Cassava","MH95/0183","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,1,1
"Roots and Tubers","Cassava","MM06/0138","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,0,1
"Roots and Tubers","Cassava","MM06/0139","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,0,1
"Roots and Tubers","Cassava","MM06/0174","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,0,0,0,1
"Roots and Tubers","Cassava","MM96/4271","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,0,1
"Roots and Tubers","Cassava","MM98/3567","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,0,0,1
"Roots and Tubers","Cassava","MM96/0686","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,0,1
"Roots and Tubers","Cassava","MM97/0293","Sandy laom","Clay loam","Clay","5.5",7.5,15,30,300,1500,800,1800,1,1,0,1
