county,subcounty,ward,lat,lon,altitude,annual_Rain,annual_Temp,ke_elev,ke_ph,LR_Rain,LR_Temp,SR_Rain,SR_Temp
Nakuru,Subukia  Sub County,Subukia Ward,-0.007568774,36.20310865,2333.511475,1035,15.524333,2302,5.789999962,749,15.6794281,286,15.30719948
Vihiga,Luanda Sub County,Luanda South Ward,-0.012179103,34.56310073,1459.284424,1701,20.99433327,1472,5.579999924,1091,20.82971382,610,21.22480011
NANDI,Tinderet Sub County,Chemelil/chemase Ward,-0.015588565,35.03939438,1556.394531,1588,20.47966766,1596,5.650000095,1058,20.35085678,530,20.65999985
NANDI,Tinderet Sub County,Songhor/Soba Ward,-0.016558977,35.25944658,1483.01062,1465,20.45533371,1519,5.730000019,998,20.38171387,467,20.5583992
GARISSA,Dadaab Sub County,Damajale Ward,-0.016910461,40.71577076,128.5989685,354,28.14900017,129,7.579999924,185,28.12800026,169,28.17840004
Siaya,Bondo Sub County,Yimbo East Ward,-0.018202497,34.11469118,1190.610718,955,22.40533447,1184,6.28000021,603,22.30171394,352,22.55039978
GARISSA,Dadaab Sub County,Dertu Ward,-0.022582173,39.82963681,201.100174,332,28.23266602,202,7.739999771,148,28.24799919,184,28.21120071
Kisumu,Kisumu West Sub County,North West Kisumu Ward,-0.023127253,34.61502322,1434.365967,1734,20.94433403,1466,5.619999886,1115,20.77428627,619,21.18239975
Kisumu,Kisumu East Sub County,Kajulu Ward,-0.023641091,34.78423778,1221.609253,1586,21.60033417,1232,5.96999979,1036,21.4262867,550,21.84399986
NYANDARUA,Oljoroorok Sub County,Gatimu Ward,-0.02367976,36.38043748,2380.075928,960,14.15566635,2381,5.829999924,667,14.30457115,293,13.94719982
Siaya,Gem Sub County,South Gem Ward,-0.026309544,34.43811116,1299.35376,1650,22.00833321,1301,5.929999828,1083,21.87428474,567,22.19599915
MERU,Imenti Central Sub County,Mwangathia Ward,-0.027752092,37.77527358,1083.944946,1235,21.34300041,1054,5.929999828,577,21.16628647,658,21.5904007
MERU,Imenti Central Sub County,Abothuguchi central Ward,-0.028422895,37.6755725,1434.430664,1585,19.7140007,1431,5.480000019,732,19.53428459,853,19.96559906
MERU,Imenti Central Sub County,Abothuguchi west Ward,-0.029974556,37.47136439,3055.231689,1335,11.52099991,3015,5.730000019,726,11.57085705,609,11.45119953
NANDI,Tinderet Sub County,Tinderet Ward,-0.034013426,35.37027381,2025.226074,1536,17.5953331,2033,5.369999886,1081,17.56342888,455,17.63999939
LAIKIPIA,Laikipia East Sub County,Ngobit Ward,-0.035787258,36.66222195,2129.447266,749,15.83466625,2128,6.760000229,455,15.96742821,294,15.6487999
Kisumu,Kisumu West Sub County,North Kisumu Ward,-0.036906466,34.71963373,1465.838013,1756,20.7563324,1459,5.900000095,1141,20.59085655,615,20.98800087
KERICHO,Kipkelion East Sub County,Tendeno/sorget Ward,-0.042753737,35.52379265,2476.900879,1250,13.99766636,2490,5.190000057,911,13.98571396,339,14.01440048
Nakuru,Rongai  Sub County,Soin Ward,-0.04464643,36.01576337,1649.10022,964,18.87866592,1643,6.699999809,653,19,311,18.70879936
NYANDARUA,Ndaragwa Sub County,Central Ward,-0.046552081,36.50786258,2301.119385,901,14.34200001,2323,5.929999828,600,14.49085712,301,14.13360023
NYANDARUA,Oljoroorok Sub County,Gathanji Ward,-0.048713879,36.3026456,2505.770264,1062,13.4216671,2504,5.550000191,734,13.56285763,328,13.22399998
GARISSA,Balambala Sub County,Saka Ward,-0.050523409,39.28709534,265.8840637,324,27.51566696,264,7.519999981,128,27.49600029,196,27.54319954
THARAKA-NITHI,Tharaka South Sub County,Nkondi Ward,-0.054165795,37.9693839,709.5292969,629,23.31800079,712,6.860000134,287,23.14685822,342,23.55760002
Kisumu,Seme Sub County,North Seme Ward,-0.056035291,34.50261782,1342.047852,1578,21.66200066,1347,5.769999981,1027,21.5005722,551,21.88800049
Kisumu,Kisumu West Sub County,West Kisumu Ward,-0.060525821,34.62643097,1351.327148,1492,22.05766678,1289,6.039999962,972,21.86914253,520,22.32159996
MERU,Imenti Central Sub County,Kiagu Ward,-0.06229695,37.83895475,896.4692993,868,22.1590004,902,6.329999924,407,21.96857071,461,22.42560005
Siaya,Bondo Sub County,West Yimbo Ward,-0.062793145,34.06270525,1156.324951,910,22.50533295,1154,6.03000021,570,22.40171432,340,22.65040016
MERU,Imenti South Sub County,Nkuene Ward,-0.062896752,37.26193164,3148.229248,1626,9.064666748,3163,5.369999886,953,9.098285675,673,9.01760006
Kisumu,Muhoroni Sub County,Miwani Ward,-0.064837893,34.90779841,1187.383057,1324,22.62566757,1194,6.210000038,868,22.46171379,456,22.85519981
NYERI,Kieni East Sub County,Gakawa Ward,-0.074301316,37.0841567,2078.37915,922,15.2869997,2069,6.019999981,537,15.43314266,385,15.08240032
Kisumu,Kisumu Central Sub County,Railways Ward,-0.075275396,34.76551901,1160.728394,1457,22.52099991,1157,6.300000191,950,22.33542824,507,22.78079987
Kisumu,Kisumu Central Sub County,Migosi Ward,-0.07677218,34.7824932,1171.64563,1457,22.52099991,1179,6.519999981,950,22.33542824,507,22.78079987
Kisumu,Kisumu West Sub County,Central Kisumu Ward,-0.079920002,34.69891891,1153.252808,1488,22.16766739,1160,6.239999771,968,21.97771454,520,22.43359947
Siaya,Bondo Sub County,West Sakwa Ward,-0.080473185,34.23015333,1282.076416,1165,22.26766586,1280,6.630000114,741,22.16285706,424,22.4144001
Kisumu,Muhoroni Sub County,Chemelil Ward,-0.083758537,35.14851239,1284.749023,1250,22.28899956,1282,5.980000019,830,22.19371414,420,22.42239952
BARINGO,Koibatek Sub County,Koibatek Ward,-0.089343501,35.78289987,2189.209717,1118,14.56799984,2220,5.360000134,792,14.59999943,326,14.52320004
BARINGO,Koibatek Sub County,Mumberes/Maji Mazuri Ward,-0.08958348,35.70612842,2636.449219,1178,13.75899982,2645,5.409999847,846,13.79199982,332,13.71280003
Kisumu,Kisumu Central Sub County,Kondele Ward,-0.08988918,34.77744506,1174.734985,1389,22.95033264,1172,6.519999981,911,22.77771378,478,23.19199944
Siaya,Bondo Sub County,North Sakwa Ward,-0.094850044,34.31831477,1305.541504,1285,22.06533432,1319,5.840000153,825,21.94228554,460,22.23760033
Kisumu,Seme Sub County,East Seme Ward,-0.09650883,34.56736237,1272.332397,1400,22.38700104,1274,6.150000095,916,22.22057152,484,22.62000084
Kisumu,Kisumu East Sub County,Manyatta B Ward,-0.096969332,34.78541347,1155,1389,22.95033264,1155,6.409999847,911,22.77771378,478,23.19199944
Kisumu,Kisumu Central Sub County,Shauri Moyo Kaloleni Ward,-0.099404072,34.77117432,1158.4198,1389,22.95033264,1180,6.349999905,911,22.77771378,478,23.19199944
Kisumu,Kisumu West Sub County,South West Kisumu Ward,-0.106470743,34.6397507,1202.171875,1329,22.75966644,1197,6.139999866,870,22.5737133,459,23.02000046
Nakuru,Subukia  Sub County,Kabazi Ward,-0.109172789,36.14866428,2075.039307,1083,16.15299988,1968,6.090000153,784,16.30571365,299,15.9392004
Kisumu,Kisumu Central Sub County,Market Milimani Ward,-0.11026222,34.75675303,1179.647583,1389,22.95033264,1171,5.960000038,911,22.77771378,478,23.19199944
MERU,Imenti South Sub County,Abogeta west Ward,-0.111266354,37.52687731,2465.454102,1477,12.73066711,2462,5.159999847,825,12.72114277,652,12.74400043
MERU,Imenti South Sub County,Mitunguu Ward,-0.11375842,37.80452626,948.4494019,913,21.95733261,955,5.949999809,431,21.75885773,482,22.23519897
Kisumu,Kisumu East Sub County,Kolwa Central Ward,-0.11442758,34.80130743,1150.050049,1310,23.04599953,1152,6.21999979,857,22.87485695,453,23.28560066
Kisumu,Kisumu East Sub County,Nyalenda A Ward,-0.1156926,34.77384751,1142.062988,1389,22.95033264,1146,6.300000191,911,22.77771378,478,23.19199944
KERICHO,Kipkelion East Sub County,Londiani Ward,-0.119056187,35.56283802,2333.91626,1165,14.93500042,2336,5.630000114,843,14.97200012,322,14.88319969
Kisumu,Muhoroni Sub County,Ombeyi Ward,-0.121868671,34.92553564,1160,1223,22.80233383,1161,6.079999924,802,22.66514206,421,22.99440002
Kisumu,Muhoroni Sub County,Masogo/nyang'oma Ward,-0.121986704,35.05547204,1193.967041,1250,22.72733307,1194,6.079999924,828,22.61542892,422,22.88399887
LAIKIPIA,Laikipia East Sub County,Tigithi Ward,-0.122798495,36.90854094,1840.872925,769,16.7543335,1841,6.679999828,442,16.90857124,327,16.53840065
Kisumu,Kisumu East Sub County,Kolwa East Ward,-0.122937747,34.84646645,1148,1306,22.95400047,1149,6.309999943,859,22.7874279,447,23.18720055
MERU,Imenti South Sub County,Abogeta east Ward,-0.123742742,37.70938209,1169.332275,1383,20.62366676,1156,5.71999979,639,20.44857025,744,20.86879921
Kisumu,Seme Sub County,Central Seme Ward,-0.124094069,34.52497258,1170.274902,1373,22.41066742,1171,6.349999905,899,22.25200081,474,22.63280106
NYANDARUA,Oljoroorok Sub County,Weru Ward,-0.126034345,36.37669723,2368.412842,902,14.32466698,2370,5.880000114,622,14.49142838,280,14.09119987
Siaya,Rarieda Sub County,East Asembo Ward,-0.129342987,34.40910085,1204.090698,1203,22.6123333,1216,6.059999943,785,22.47371483,418,22.8064003
KERICHO,Kipkelion West Sub County,Kunyak Ward,-0.131039304,35.29692041,1674.264648,1498,19.40633392,1686,5.599999905,1019,19.32342911,479,19.5223999
Kisumu,Seme Sub County,West Seme Ward,-0.132412403,34.46759685,1231.619141,1239,22.69300079,1175,6.190000057,812,22.54342842,427,22.90239906
Kisumu,Kisumu Central Sub County,Nyalenda B Ward,-0.133233598,34.74548953,1140.177856,1277,22.76499939,1142,5.949999809,837,22.6045723,440,22.98959923
THARAKA-NITHI,Tharaka North Sub County,Gatunga Ward,-0.133502076,38.11150506,572.1887817,549,23.74333382,574,6.579999924,235,23.56857109,314,23.98800087
KERICHO,Kipkelion West Sub County,Kamasian Ward,-0.138991091,35.43334955,1979.261719,1354,17.79933357,1953,5.670000076,934,17.7508564,420,17.86720085
KERICHO,Kipkelion West Sub County,Kipkelion Ward,-0.14057895,35.49804828,2352.436768,1295,16.20433235,2377,5.46999979,914,16.19199944,381,16.22159958
NYANDARUA,Oljoroorok Sub County,Charagita Ward,-0.141833659,36.28056646,2775.30835,1170,12.38800049,2770,5.510000229,787,12.49142838,383,12.2432003
THARAKA-NITHI,Tharaka South Sub County,Marimanti Ward,-0.147854557,37.94213982,636.8210449,595,23.45899963,640,6.650000095,271,23.28057098,324,23.70879936
Siaya,Rarieda Sub County,West Asembo Ward,-0.148600528,34.33804847,1237.52356,1198,22.46299934,1240,6.550000191,775,22.32685661,423,22.65360069
Nakuru,Kuresoi North  Sub County,Kamara Ward,-0.149851117,35.66490117,2548.264893,1147,14.46733284,2518,5.289999962,823,14.48685741,324,14.43999958
Siaya,Bondo Sub County,Central Sakwa Ward,-0.158586055,34.14861858,1170.513062,957,22.39766693,1189,6.190000057,605,22.2857151,352,22.55439949
Nakuru,Rongai  Sub County,Visoi Ward,-0.160399828,35.87236703,1860.463867,958,17.77499962,1860,6.480000019,658,17.84342766,300,17.67919922
Nakuru,Nakuru North  Sub County,Bahati Ward,-0.164520791,36.13240768,1990.704224,1030,16.01166725,1960,6.079999924,745,16.17257118,285,15.78639984
Kisumu,Nyando Sub County,Kobura Ward,-0.164614206,34.84931065,1146.012817,1234,23.02600098,1147,6.25,810,22.86057091,424,23.25759888
KERICHO,Kipkelion West Sub County,Chilchila Ward,-0.167647544,35.36276229,1867.778076,1445,19.78766632,1843,5.659999847,976,19.70400047,469,19.90480042
NYERI,Kieni East Sub County,Naromoru/kiamathaga Ward,-0.170276481,37.10813528,2217.595703,966,14.81433296,2216,5.690000057,510,14.89942837,456,14.69519997
MERU,Imenti South Sub County,Igoji east Ward,-0.178114419,37.70056114,1212.04895,1408,20.21500015,1226,5.590000153,665,20.07371521,743,20.41279984
MERU,Imenti South Sub County,Igoji west Ward,-0.178788815,37.61207395,1675.562744,1851,17.80566597,1685,5.360000134,932,17.62114334,919,18.06399918
Kisumu,Muhoroni Sub County,Muhoroni Koru Ward,-0.179319013,35.27422101,1440.623291,1333,21.39033318,1428,5.730000019,891,21.31200027,442,21.5
Siaya,Bondo Sub County,South Sakwa Ward,-0.180163761,34.2386503,1192.346191,1011,22.4980011,1203,6.46999979,643,22.36457062,368,22.6848011
Kisumu,Nyando Sub County,Awasi/onjiko Ward,-0.183569972,35.05648023,1205.022339,1206,22.58533287,1208,6.130000114,795,22.47142792,411,22.74480057
NYANDARUA,Olkalou Sub County,Mirangine Ward,-0.194234967,36.23384975,2641.118652,1152,13.09100056,2628,5.599999905,787,13.20285702,365,12.93440056
NYERI,Kieni West Sub County,Mugunda Ward,-0.200643058,36.75504455,2259.984863,839,15.25399971,2266,5.809999943,481,15.37485695,358,15.08479977
Nakuru,Rongai  Sub County,Menengai West Ward,-0.203189351,35.99498973,1990.370972,923,17.10199928,1985,6.519999981,642,17.25257111,281,16.89120102
GARISSA,Garissa Sub County,Sankuri Ward,-0.205827605,39.61078809,239.4066467,337,28.01399994,241,7.599999905,140,28.01714325,197,28.00959969
Kisumu,Nyando Sub County,Ahero Ward,-0.210814056,34.90699034,1146.96936,1186,23.07799911,1147,5.96999979,786,22.92342949,400,23.29439926
Nakuru,Nakuru North  Sub County,Kabatini Ward,-0.212305031,36.15147576,2003.636108,893,16.39400101,2009,6.159999847,628,16.55885696,265,16.16320038
NYANDARUA,Olkalou Sub County,Rurii Ward,-0.214108419,36.3830363,2413.569824,849,14.38199997,2428,5.769999981,579,14.52342892,270,14.18400002
KERICHO,Sigowet/Soin Sub County,Soin Ward,-0.218715533,35.15904298,1353.055176,1354,21.51166725,1370,6.190000057,900,21.41485786,454,21.64719963
Nakuru,Molo  Sub County,Molo Ward,-0.221013773,35.7803932,2252.176514,1087,15.53533363,2251,5.539999962,763,15.61428547,324,15.42479992
Kisumu,Nyando Sub County,East Kano/wawidhi Ward,-0.221430557,34.99129137,1159.876465,1154,23.02499962,1158,6.210000038,762,22.8937149,392,23.20880127
KERICHO,Kipkelion East Sub County,Kedowa/kimugul Ward,-0.222448158,35.56135123,2136.05835,1244,15.8579998,2158,5.510000229,877,15.87085724,367,15.84000015
THARAKA-NITHI,Mwimbi Sub County,Mwimbi Ward,-0.223016034,37.74521909,1115.743652,1263,20.65333366,1105,5.769999981,596,20.49314308,667,20.87759972
THARAKA-NITHI,Mwimbi Sub County,Chogoria Ward,-0.230568197,37.57804672,1832.84021,1953,16.56466675,1794,4.880000114,1083,16.39714241,870,16.79920006
Nakuru,Nakuru North  Sub County,Kiamaina Ward,-0.233063858,36.08592647,2000.240234,910,16.55133247,1999,6.190000057,638,16.71199989,272,16.32640076
Kisumu,Nyando Sub County,Kabonyo Kanyagwal,-0.235815137,34.84829727,1140.80249,1186,22.9386673,1141,6.170000076,784,22.78171349,402,23.15839958
